X	TCGA.CH.5753.01A.11R.1580.07	TCGA.CH.5761.01A.11R.1580.07	TCGA.EJ.5507.01A.01R.1580.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.HC.A631.01A.11R.A29R.07	TCGA.HC.A632.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.KK.A6E8.01A.11R.A31N.07	TCGA.QU.A6IO.01A.11R.A31N.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.G9.6356.11A.01R.1789.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6499.11A.02R.1965.07	TCGA.HC.7740.11A.01R.2118.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.8260.11A.01R.2263.07
1/2-SBSRNA4	55	52	67	66	34	81	46	39	14	30	39	61	85	101	84	56	62	35	53	58	55	23	56	65	34	71	34	33	32	59
A1BG	13	37	62	539	317	85	411	24	57	39	90	43	120	294	29	517	77	92	66	62	132	182	360	208	179	128	502	298	946	496
A1BG-AS1	7	7	9	41	43	3	97	2	24	5	21	8	22	58	4	10	7	9	15	12	18	54	75	25	42	20	64	37	69	69
A1CF	192	4	3	8	4	0	5	1	4	3	8	3	1	4	0	7	3	125	849	2	1	1	1	7	1	1	7	2	5	2
A2LD1	349	673	368	232	530	545	255	768	240	679	640	315	540	501	381	664	258	529	142	486	278	277	466	275	281	627	163	183	256	471
A2M	13734	37539	35269	7158	18758	14380	64276	10707	97529	23359	65097	14672	50837	19596	12433	21322	13897	18866	21817	31085	13359	71398	34089	11624	21609	48802	9434	24315	6546	16175
A2ML1	80	711	228	425	54	62	96	46	10	44	136	24	20	79	8	34	72	172	48	228	430	201	275	853	100	49	10	17	12	171
A2MP1	0	3	3	4	0	0	6	0	2	0	1	0	8	3	1	0	2	1	1	2	0	2	4	0	3	2	3	6	0	3
A4GALT	460	646	986	1395	1063	3732	2497	1368	871	967	1175	680	642	1607	999	2116	1544	1484	830	1181	2220	1327	852	4122	2256	2621	4182	5140	8607	1278
A4GNT	1	8	3	1	0	4	6	0	11	9	9	2	0	3	1	2	1	5	1	2	0	6	0	0	3	1	0	2	3	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAA1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	2
AAAS	1865	2851	2664	2487	3555	2763	1935	3320	1372	1897	3192	2069	2052	3263	2189	3517	2204	3123	1853	2339	2124	1361	2361	3048	1886	2206	1526	1478	2028	2534
AACS	1630	9529	3325	2234	5072	4121	1809	5868	2918	4435	4947	2413	2040	3167	3361	3469	2269	2012	1336	1611	2826	2512	4413	2086	2549	1597	1550	1572	2246	2573
AACSP1	4	360	0	5	3	1	5	4	0	1	1	1	0	5	3	1	3	0	3	0	1	0	0	2	0	0	0	0	0	1
AADAC	0	11	0	7	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	2	1	2	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
AADACL3	4	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1
AADACL4	2	1	3	2	0	0	6	0	0	1	0	3	0	3	1	0	1	1	1	0	0	1	1	0	1	6	9	4	20	1
AADAT	1634	856	1115	965	2241	969	561	767	438	797	2618	595	919	1440	874	540	1260	1135	1189	1262	643	668	1950	966	812	619	128	225	87	1193
AAGAB	2628	4714	4509	1963	3967	3469	1890	3969	1973	3053	5410	3331	2606	3050	2160	3131	1880	2169	1527	3133	2315	2179	3797	3847	2353	2506	2390	2121	4025	2717
AAK1	5412	4082	6030	4678	4925	11740	2304	7850	5442	6642	11340	3256	4333	5020	3936	3612	2051	1965	3543	6327	3145	4327	6142	4420	2690	2755	4080	3755	5493	3602
AAMP	6867	11006	10694	7188	14697	12394	6820	13602	5175	8385	12120	10963	8761	10287	9351	9880	7678	9059	5099	9834	7955	6451	12646	12911	7450	10097	4663	5686	8342	8211
AANAT	6	2	5	7	0	4	4	2	4	1	6	3	2	4	1	9	2	0	1	0	3	1	2	4	5	2	0	0	5	7
AARS	8812	25964	14462	7691	17074	14704	8229	18486	9895	9454	18502	3894	6051	13087	13083	8525	7431	7153	6510	10200	8702	9060	13765	9326	10652	9227	7972	9199	14841	12122
AARS2	1509	2252	1751	1626	2307	1866	1525	2482	1085	1732	2500	1580	1032	2379	1110	1720	1497	1503	1553	1548	1736	1352	2172	2390	1524	1526	831	1113	1124	2257
AARSD1	1115	1597	1798	1845	2365	2826	1752	2040	1059	1004	2065	1350	1196	2597	2144	5254	1689	1546	1472	2534	1250	1215	1717	1848	1640	1771	942	1164	1366	2064
AASDH	1632	1310	1529	804	681	700	713	1061	557	986	1529	917	660	917	508	535	505	602	799	772	769	914	1440	1026	628	457	622	596	827	938
AASDHPPT	1273	1655	3712	1704	2614	2472	1589	2596	1293	2211	3450	1917	2182	2273	1853	697	1292	1289	1635	1602	1718	1989	3143	2417	1507	5913	1519	1542	1673	1956
AASS	2288	2262	1497	1644	1836	2204	1044	1307	683	1472	2114	2044	1439	2208	1385	702	872	1586	1643	1071	967	1231	1940	1339	861	2331	1231	1097	1173	1511
AATF	2247	2834	3086	2285	4035	4018	2491	3933	1983	3012	3747	2766	2740	3073	2720	4244	2213	3353	2122	3141	2117	1933	2584	3234	2545	4021	2068	2674	3022	2124
AATK	189	354	346	767	93	170	278	140	665	735	444	636	98	551	32	213	171	238	279	306	265	319	109	106	241	162	206	203	49	366
AATK-AS1	5	1	1	3	0	0	1	0	1	3	1	3	0	3	0	0	2	1	1	1	3	0	0	0	0	0	0	0	0	1
ABAT	4597	3640	4203	5885	15666	11241	2310	9774	2566	8288	13379	5397	1322	8589	3871	3360	4013	5908	3060	10857	4664	4724	17190	5005	6643	6054	1414	540	619	7512
ABCA1	2102	3201	3585	939	909	998	945	1830	2381	1611	4302	1026	603	1049	305	330	838	1402	1389	855	793	1282	955	736	461	1446	2411	1802	1420	681
ABCA10	74	10	21	84	13	9	63	20	20	22	76	24	17	72	41	58	61	15	39	54	45	25	13	64	32	10	63	42	49	52
ABCA11P	254	470	437	360	338	417	309	383	296	362	560	391	263	554	268	248	278	223	424	324	254	283	605	437	226	362	206	239	274	398
ABCA12	12	68	42	27	10	12	20	2	37	20	23	4	21	18	3	17	12	12	10	3	34	48	39	105	30	20	10	5	13	38
ABCA13	12	3	14	2	3	0	2	3	1	6	5	3	0	3	0	7	1	10	5	3	16	4	3	12	0	17	42	6	43	2
ABCA17P	24	37	29	46	27	18	37	37	20	15	38	39	46	41	19	31	21	43	25	38	14	20	27	26	21	29	28	30	26	25
ABCA2	6282	3904	7875	5209	5779	3178	3336	7560	7925	10227	10842	6121	7512	7941	2798	5750	4322	8717	5212	4121	4695	3879	4510	3162	2435	5040	4704	3506	2389	4043
ABCA3	3342	2689	4404	3568	6209	2609	2256	6260	3336	5026	8158	4243	6058	4094	3589	7490	3192	4605	1662	4318	2835	2389	4378	2106	2591	3522	2148	2323	4177	2699
ABCA4	12	66	211	41	4	21	18	15	40	21	28	17	9	25	0	32	13	18	16	9	32	22	11	28	25	37	770	360	283	14
ABCA5	2597	1272	2120	1858	1035	1115	1281	1703	1042	1143	3143	1282	1436	1891	2120	1330	1562	825	1267	1619	1556	1315	2027	1846	1086	1318	2368	1178	2447	1928
ABCA6	70	63	59	25	45	21	108	17	219	57	238	24	173	118	25	7	23	47	114	69	63	104	105	72	44	50	115	131	138	73
ABCA7	244	736	1359	1470	891	684	630	1958	377	1073	1390	806	377	862	436	1785	989	539	950	559	1417	643	751	1062	685	306	733	903	936	1091
ABCA8	405	147	483	207	516	299	717	237	995	457	2204	230	539	1400	192	324	281	394	745	778	457	843	632	768	762	497	340	638	311	675
ABCA9	81	38	68	23	27	49	116	31	162	42	188	25	44	145	45	16	32	41	161	91	60	29	29	56	93	66	132	159	118	62
ABCB1	302	310	997	181	293	317	641	409	2060	756	1982	304	572	523	221	212	316	408	455	268	341	763	328	305	546	494	189	324	498	325
ABCB10	1089	1862	1389	590	939	769	949	1099	577	968	1303	1053	958	1123	642	380	535	505	934	591	783	902	1084	851	776	1336	511	479	523	865
ABCB11	4	0	5	1	0	6	2	2	3	3	4	3	0	0	5	0	0	17	0	7	1	0	2	8	0	45	1	1	0	1
ABCB4	30	121	96	12	8	22	29	32	135	40	122	45	98	47	15	25	15	30	34	131	29	38	42	73	38	32	33	34	29	49
ABCB5	93	46	26	15	7	13	4	3	31	5	29	3	5	9	1	26	8	12	7	22	5	12	5	5	4	5	26	9	77	3
ABCB6	1818	4130	1445	1955	4461	3100	1971	5383	1777	3390	3627	1408	3048	4337	2913	5070	2811	2766	1795	2374	2531	2018	2643	2926	2118	3115	1601	2449	2433	2688
ABCB7	1290	1608	1375	767	1116	1013	749	1404	848	1305	1837	1171	1181	1172	672	876	680	805	940	999	773	849	1334	1031	960	1203	681	789	887	825
ABCB8	1843	1072	2144	2444	2581	2410	2171	2857	1794	1832	2807	1466	1561	2185	3801	5408	1757	1474	1161	2002	1790	1663	3024	2108	2115	1615	1070	1761	2160	2609
ABCB9	186	934	230	342	226	223	378	431	152	211	268	283	119	340	150	609	185	200	194	149	404	273	252	240	205	201	526	520	858	305
ABCC1	7724	4430	6153	2657	6234	7093	4808	6003	4887	9899	10923	3181	3822	7097	5127	5916	4708	8071	4923	4515	5584	7513	6656	4775	4674	7032	2530	3410	2672	4953
ABCC10	935	1726	1445	1999	1204	922	1525	1822	888	1408	2311	1002	510	1562	513	932	1093	959	1081	1004	1717	1140	1261	1736	1120	1195	1083	1652	1926	1686
ABCC11	92	86	672	14	421	235	44	733	63	76	219	700	4	128	28	61	37	152	43	26	1254	71	70	505	46	20	14	5	8	54
ABCC12	2	0	7	2	0	0	0	7	1	2	0	16	0	3	1	3	1	1	2	4	12	0	0	12	1	1	0	1	1	0
ABCC13	2	0	1	0	4	0	4	4	0	0	1	0	0	9	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1
ABCC2	140	16	17	38	17	10	20	28	15	17	60	7	22	41	46	0	12	27	36	18	23	12	21	53	13	14	47	21	26	29
ABCC3	352	193	590	2005	215	502	1204	219	1749	1077	914	225	324	590	24	602	506	338	663	39	824	636	370	1549	714	811	6488	4925	7998	1108
ABCC4	104087	9305	14523	3458	82602	53304	4252	67449	15962	76783	80851	40301	31153	21554	18686	21354	28680	68447	20608	46133	11005	15674	44660	13176	9332	36421	591	1097	813	17627
ABCC5	5130	3533	2687	1175	1106	879	1507	1583	1117	1316	2766	3197	2378	1947	468	2050	1109	3226	2113	1954	1414	1703	1650	3912	1019	1620	1844	2014	2837	1730
ABCC6	93	279	432	85	62	110	685	23	34	117	141	47	39	181	268	145	160	575	51	255	291	207	1531	1226	299	86	103	104	28	358
ABCC6P1	42	58	54	148	10	27	30	9	2	15	21	53	11	25	10	32	16	54	23	28	40	22	133	78	25	6	8	20	0	88
ABCC6P2	7	17	15	11	2	7	20	0	2	5	8	5	3	9	7	3	4	13	8	10	5	13	21	21	9	3	9	10	1	12
ABCC8	88	92	238	56	77	130	255	179	1653	499	959	30	327	839	165	63	547	88	65	86	95	474	495	505	193	83	2917	1321	1304	270
ABCC9	279	495	879	482	271	402	1304	221	1503	405	2055	216	368	894	148	64	381	296	1073	544	626	1792	472	339	1328	1664	523	1985	384	729
ABCD1	497	1153	693	922	940	804	1531	1417	700	1039	1483	918	691	1362	456	1364	763	1295	851	1005	837	1166	769	845	1018	977	1081	1949	1648	928
ABCD2	30	13	49	3	12	20	30	9	42	23	102	3	52	40	6	20	15	25	17	34	21	103	37	25	39	52	12	142	26	30
ABCD3	2059	2943	5175	2104	3579	3129	2441	4392	2623	2888	5800	3116	2645	2701	2411	1445	1741	1240	1430	2760	2552	3907	5481	3010	2635	2953	5409	4136	7648	2986
ABCD4	1144	1604	1921	1794	1708	1300	1673	2188	1069	1983	2382	1479	1166	2240	1351	2662	1645	1417	1183	1251	1714	1136	2077	1899	1033	1118	1276	1244	1555	1484
ABCE1	3532	5868	4675	1711	3622	4272	1448	3724	1695	2537	4024	2249	3075	2858	3433	1067	1734	1622	1915	2100	1502	1826	2752	2344	1359	4158	1294	1253	1440	1844
ABCF1	5069	5867	5461	3727	7040	5899	4705	7798	3304	5924	7753	4107	3539	5991	3365	7346	3196	3982	3543	5166	4799	4635	5628	7153	5285	4760	2743	3917	4321	5180
ABCF2	2018	1817	2976	1933	3610	3520	1944	2917	1606	2452	3165	2227	1443	2695	2400	2185	1477	2616	1481	2459	1504	1858	2417	2652	1837	3367	1586	1926	2086	1972
ABCF3	3128	5239	5426	3102	4955	4876	2714	5792	2479	3553	5915	3918	2378	4182	3132	5641	3424	3748	2138	4093	3747	2705	4708	5259	3236	4018	3993	4611	8654	4233
ABCG1	1280	1504	6083	1113	2623	6907	902	3983	2052	3326	3132	2776	1187	1793	2587	1331	1047	1753	1212	1942	1100	1120	2706	1830	1108	1944	1082	790	979	1204
ABCG2	168	382	805	451	514	292	823	176	347	265	815	146	602	501	491	321	241	325	601	246	494	2474	891	368	526	304	7305	7032	32094	712
ABCG4	4	23	10	14	4	3	25	1	13	1	14	2	3	17	3	6	3	5	7	10	9	23	6	2	16	9	41	58	32	19
ABCG5	5	6	4	15	3	1	4	8	0	4	6	11	2	7	4	13	3	2	5	5	3	1	8	7	10	4	5	0	2	6
ABCG8	4	1	0	2	0	0	0	1	2	0	2	1	1	1	1	1	1	0	4	4	0	2	1	1	0	0	1	0	0	0
ABHD1	97	199	205	237	329	348	86	215	46	54	139	150	31	152	183	281	133	109	41	197	75	55	455	192	209	71	29	35	58	253
ABHD10	2643	3123	3690	2661	5084	4639	1704	4264	1909	2808	4105	3049	2927	3425	2188	5077	2433	3744	3051	4131	1934	2224	4407	2896	2511	3307	1967	1648	1881	2238
ABHD11	3227	2693	2640	1386	3365	6175	1703	4266	1584	3593	4115	1777	1605	2929	8775	7059	2356	7616	1619	4950	2607	1582	2479	5631	2982	8894	1423	1369	2021	2671
ABHD11-AS1	43	23	32	8	20	160	17	19	35	51	65	30	29	36	30	92	29	274	19	108	27	11	26	111	54	222	17	18	42	4
ABHD12	4096	5182	31438	15111	6372	6006	3665	7598	9914	17183	6754	13758	12201	5556	7238	11672	4075	6495	2439	4472	5031	3150	6191	6369	5141	9602	4462	4174	6304	5022
ABHD12B	10	2	3	5	6	8	5	4	22	1	8	2	5	2	0	5	1	2	1	3	2	11	8	8	19	6	21	18	17	13
ABHD13	2213	1584	1122	834	1406	1803	924	1325	888	1443	2165	1230	860	1184	794	556	738	725	784	1046	1164	1271	1776	1588	1082	1709	1029	1064	1323	984
ABHD14A	236	1236	1258	1245	2162	2719	873	1993	589	731	760	1162	518	1235	1606	3041	1080	991	438	1453	768	518	1500	1223	1496	1514	887	902	1091	1120
ABHD14A-ACY1	0	5	1	4	5	2	3	16	2	2	1	14	6	1	0	0	2	4	2	4	4	1	4	3	0	4	6	0	1	3
ABHD14B	2492	10395	6526	7710	9473	10693	5326	8906	2897	4572	6413	7320	3987	7517	9777	12645	5586	6515	3951	6579	5645	3801	9838	10411	7567	6222	4440	4156	6922	7670
ABHD15	894	1180	866	531	823	533	718	887	446	823	1618	516	703	682	391	458	542	575	396	454	970	666	547	1004	559	580	623	631	1036	806
ABHD16A	4008	6480	5842	3827	5709	4962	3773	6116	2866	4755	6432	4592	2651	5328	2674	3386	3609	3241	2448	3358	3914	3115	5829	6245	4186	3787	2565	3417	4249	4904
ABHD16B	248	386	404	703	253	409	303	521	152	505	475	472	277	716	341	818	443	492	292	446	460	244	276	484	254	414	155	203	223	329
ABHD2	39546	68890	41862	8125	31176	53870	12505	42945	27092	38461	92823	18796	34159	29074	23043	29006	13829	78279	16507	72764	28821	25742	51024	20757	30780	30558	6512	6443	6436	31928
ABHD3	1577	990	1357	639	1101	1231	533	763	402	1127	1557	961	476	1030	1987	320	732	1028	600	1030	964	710	1757	1339	796	1269	549	347	578	987
ABHD4	3307	5307	3027	1687	3018	3004	2546	2581	2263	2119	2148	2653	1474	1931	858	1383	1175	1521	1668	2426	2106	2186	2756	3153	2721	3010	5599	6372	8682	2685
ABHD5	698	2644	2537	863	1493	1565	1043	1751	1047	1331	1947	1215	1037	1055	1196	724	635	851	760	1014	929	1497	1505	1649	883	1550	1065	1130	1500	1055
ABHD6	148	974	533	298	580	365	616	406	394	400	784	396	381	580	250	291	258	543	439	310	407	750	825	544	549	663	1496	2973	4898	632
ABHD8	188	831	1040	1451	479	1031	1234	1326	717	1037	1026	1036	850	1218	392	1710	852	719	807	766	940	797	1003	967	766	1277	825	1312	1415	881
ABI1	4434	5068	5676	2629	3124	3293	2285	3804	2773	3517	6062	2794	2803	3244	1918	1537	2013	2298	1974	2973	2932	3119	5117	4439	2560	4858	1904	2004	2414	3322
ABI2	4292	5302	6514	3345	5273	3459	4467	6691	3010	4650	7624	3369	3508	4450	1428	2322	2458	2520	3239	3062	3204	4514	5996	3290	4197	3913	3355	4199	2855	3962
ABI3	158	514	313	176	295	407	607	131	570	275	524	132	380	272	206	831	229	231	230	191	421	379	219	450	271	288	166	260	178	214
ABI3BP	335	407	612	160	262	396	500	188	1951	335	1290	121	1713	803	152	179	247	372	574	801	294	999	249	875	673	854	507	449	450	393
ABL1	15632	9705	7300	6647	9806	8721	8433	11812	6902	9203	14529	6661	5153	10204	4099	2680	4604	9783	6728	6577	6745	7470	7924	5271	8356	10246	5421	9517	6931	5615
ABL2	2494	2933	1911	1177	1858	1966	1013	1668	1773	1652	3806	1194	1249	1835	1172	1137	1021	1182	1361	1347	1139	1721	1980	1359	1536	2930	826	954	1208	1361
ABLIM1	3486	1684	5630	2661	2864	2848	2879	2295	3427	2817	7089	2163	1674	2350	322	1927	1624	12273	2352	12210	4466	4320	4547	6785	3031	6485	8711	8031	12855	2886
ABLIM2	82	145	235	70	155	79	121	189	306	125	312	102	128	184	121	139	281	77	190	1209	73	94	40	49	101	196	70	51	28	170
ABLIM3	1298	313	563	518	1137	1022	789	1178	1068	2758	1943	418	459	980	204	1403	525	896	498	2954	417	1367	1563	1129	1284	501	1363	1930	2763	1172
ABO	21	1412	294	114	67	2453	142	16	55	93	234	5	14	583	6	8	122	115	77	5	366	277	325	3304	956	245	191	304	49	632
ABP1	33	250	15719	539	21	29	2024	259	377	783	4496	12	11	720	8	898	1911	154	126	6	98	430	7684	27294	1222	294	281	54	919	8905
ABR	5180	3803	2547	6861	5223	3269	6691	7402	6359	5539	10055	2168	2783	6266	2746	4360	4195	4843	3004	5532	6845	6365	6422	8987	4787	4905	2691	4148	2591	6270
ABRA	21	3	5	1	6	7	14	0	2	11	24	1	3	19	5	0	15	20	9	1235	1	63	0	1	140	5	7	17	9	30
ABT1	1545	1601	1544	1337	1711	1967	1355	1578	823	1276	1695	1405	1215	1569	1064	1907	1356	1338	974	1334	1421	1046	1673	2007	1018	1964	929	1225	1746	1395
ABTB1	971	761	1276	2352	1596	1169	2110	1859	914	1122	1795	1369	2043	2468	814	5960	2005	1426	1441	1261	1550	994	1371	1746	1980	1494	1612	2195	2406	2058
ABTB2	610	1760	1113	586	203	241	797	1135	987	743	768	992	453	694	498	242	389	467	702	590	418	732	381	557	398	1161	1232	1585	2789	865
ACAA1	2076	4135	8747	10251	11772	12353	5769	11547	4204	6180	8125	8516	2148	8082	7842	14868	7512	13786	3058	10291	6994	4408	11460	10660	8874	10018	3188	3134	3836	11774
ACAA2	596	928	557	688	1308	1721	2593	254	3711	915	1594	349	655	1349	1038	1581	704	985	2094	1708	740	1654	2999	1141	2395	1738	3071	2608	4351	2275
ACACA	16708	26626	22024	7849	17986	10993	6543	25655	17846	22255	45725	9631	19336	17442	29555	10178	10902	13922	14753	19378	9693	12555	18115	10786	9855	8829	5613	6784	7132	13867
ACACB	534	732	1652	1877	784	724	2850	1367	985	855	2224	452	729	2366	401	1540	1037	855	1625	1246	2779	2427	1220	1325	2272	1366	2955	4334	4882	2218
ACAD10	1438	2523	1717	1797	1998	1873	1677	2067	1320	1653	1851	981	1112	2430	2911	3720	1681	3533	1760	1784	1664	1046	1838	1838	1391	1315	1143	1388	1751	2063
ACAD11	227	166	118	150	35	36	62	73	88	84	168	101	65	187	42	0	64	133	61	86	69	72	164	44	48	81	110	83	85	110
ACAD8	1894	3416	2270	1756	6414	14180	2938	6048	2756	5083	5848	2390	1582	6594	3317	11451	5481	41158	1405	12548	5491	3485	9018	3181	6423	4651	1483	2233	1224	7854
ACAD9	2282	3441	2992	2293	3382	3197	2192	3316	1893	2775	3509	3214	2403	3093	2166	3269	2026	3520	1388	2855	2144	1998	3081	3038	2305	4247	2020	2479	3024	2370
ACADL	987	568	1033	2585	1373	3773	832	840	757	846	1217	586	684	1970	4474	823	1186	2231	295	5163	802	1390	3956	1249	1458	3337	353	290	195	2659
ACADM	3411	3311	3908	1727	4640	2851	1628	4766	1909	3141	4365	2414	3497	3430	1955	674	1865	2667	1470	4125	2180	2403	4217	2731	2048	3821	2649	2117	3374	2326
ACADS	398	1857	1261	1836	977	1942	1749	2642	550	879	943	1697	325	1430	650	3117	1340	2688	853	1910	1379	928	1489	1743	1200	984	609	1031	1105	1402
ACADSB	3133	5025	5314	2719	5964	8925	2780	13883	13969	6365	8494	4420	2412	6460	6699	2389	3188	5191	2065	11184	6453	6619	11246	4905	4135	2750	1612	1794	2031	5959
