"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","MIR4508",202.939378053344,6.70447413665682,0.532505914374922,12.590421919589,2.38395697453796e-36,4.57695899541543e-32
"2","SEMA5B",1258.54783125164,4.30972127676458,0.35385649860911,12.1792910225038,4.00750307299123e-34,3.84700257491793e-30
"3","HSPA6",3148.75296076132,-7.45773708687738,0.823572199835118,-9.05535311703144,1.36126617559862e-19,8.71164976843932e-16
"4","NKX2-3",77.9417342707672,5.94854029624814,0.754427627359913,7.88483889046429,3.14941579185509e-15,1.51164084469565e-11
"5","HOXC4",194.336608005936,4.48550418130799,0.590585424536431,7.59501334600122,3.07760714677126e-14,1.18173959221723e-10
"6","HOXC5",51.4677275618369,4.58680540013019,0.626178377173557,7.32507791283707,2.38759957475388e-13,7.63992070594997e-10
"7","FOXD1",207.752211087008,4.83524095713902,0.712236180203882,6.78881681601025,1.13056880980627e-11,3.10082722563865e-08
"8","HOXC6",501.896328535263,3.94327492839296,0.605243363011298,6.51518904523593,7.25981680297893e-11,1.74226528500491e-07
"9","NETO2",471.099164040481,2.96078469799421,0.463727325689618,6.38475356954901,1.71673697835613e-10,3.66218147193993e-07
"10","CST9",19.6398579768025,5.62837936563951,0.884792083563785,6.36124516730462,2.00124715476921e-10,3.67649394857948e-07
"11","DNAJB1",21451.2537890747,-3.12794109734617,0.492327596197663,-6.35337348851423,2.10643436816367e-10,3.67649394857948e-07
"12","EPHA8",23.4769647661139,4.02748413113147,0.637768614990814,6.31496131428399,2.70229065838711e-10,4.03706282818259e-07
"13","HSPA7",551.583925859174,-4.77067252602609,0.7556685512736,-6.31318124591213,2.73357033003665e-10,4.03706282818259e-07
"14","CYP4F3",48.342549730121,-3.17324378668017,0.506814574225212,-6.2611533844133,3.82140416312338e-10,5.24050989484327e-07
"15","SEMA3D",1199.15424759331,-3.27151637778957,0.530451780447167,-6.16741520790393,6.94153134578392e-10,8.88469735384704e-07
"16","CLCA2",293.497731236344,-4.47316168446726,0.733403583915271,-6.09918165464547,1.06612857877894e-09,1.27928766149855e-06
"17","APBA2",682.517507743086,1.68669757343777,0.284885291380673,5.92062006874181,3.20730033526575e-09,3.62217406686865e-06
"18","ANKRD34B",364.52879854081,5.33105910804089,0.903162590516642,5.90265713396225,3.57693156049128e-09,3.81519494610401e-06
"19","CYP4F2",475.66481084126,-4.59686562942801,0.786571130353087,-5.84418300143371,5.09060420598623e-09,5.14392158688051e-06
"20","EPHA10",525.645810386995,2.02515376505988,0.349242043138117,5.79871125155164,6.68264824672049e-09,6.10953160422794e-06
"21","TMEM132A",2560.18307863201,1.99275624416425,0.34345117162347,5.80215299527042,6.54687822663725e-09,6.10953160422794e-06
"22","HSPA1B",31392.4290453745,-3.11014155804181,0.541151819509841,-5.74726249808951,9.06998663244627e-09,7.915212425288e-06
"23","ALAD",3410.422227013,-1.13153444580743,0.198165272507349,-5.71005419612796,1.12940202656034e-08,9.42756065562257e-06
"24","KLF5",3151.89874815477,-1.80671212274153,0.319396025782657,-5.65665185818863,1.54354410381324e-08,1.23477096871293e-05
"25","AQP5",98.0609357127109,-3.88302498950945,0.693485552653736,-5.59928750447709,2.1523458293629e-08,1.64938649283487e-05
"26","DNER",283.1734568224,-2.15049840985112,0.384508176624111,-5.59285482231348,2.23366054553396e-08,1.64938649283487e-05
"27","CARTPT",520.446548068177,-4.69797669759726,0.842036164446734,-5.57930513671477,2.41481300767227e-08,1.67205920318236e-05
"28","LHX6",204.860954647289,1.81607558314892,0.325601412190976,5.57760352121486,2.43854667894714e-08,1.67205920318236e-05
"29","MARCKSL1",22955.2360332505,1.43934558265112,0.259922662955859,5.5375917062513,3.06659131349693e-08,1.96251622092758e-05
"30","SNHG4",136.06591802141,2.34925559916736,0.424154945464547,5.53867312944892,3.04771866984894e-08,1.96251622092758e-05
"31","PER2",2107.76962931885,-1.36803149630681,0.247802357401806,-5.52065569775262,3.37736978612985e-08,2.02631632887209e-05
"32","ZIC5",104.294189939285,5.11154313843881,0.925005737988474,5.52595830330136,3.2769195781173e-08,2.02631632887209e-05
"33","RHPN1",1557.31311843275,1.85412182628926,0.338721244317946,5.47388703068434,4.40269792044606e-08,2.56143628408012e-05
"34","C4orf48",75.7633128743504,2.30800515653741,0.422748254495845,5.45952616478536,4.77406980152945e-08,2.59034608931997e-05
"35","CYP2B7P1",56.4569139373836,-2.86960422180628,0.525909321264248,-5.45646199026851,4.85715189413609e-08,2.59034608931997e-05
"36","HCG22",11.271762854956,-4.3761037027436,0.801589018340081,-5.45928599646434,4.78053165906122e-08,2.59034608931997e-05
"37","GSC",70.56607069281,2.12333841405444,0.389677717037802,5.44896031057497,5.06651168740438e-08,2.62897183476964e-05
"38","VAX2",62.4342648780842,2.41186081389141,0.443581718867282,5.43724123719586,5.41118529396846e-08,2.73393016997106e-05
"39","GFAP",51.9301657994365,-3.92006111220613,0.723527094694195,-5.41798799375022,6.02734625672445e-08,2.8589159130741e-05
"40","HSPA1A",32699.587186926,-2.93745948755222,0.542247135479221,-5.4171968745509,6.05406671798427e-08,2.8589159130741e-05
"41","ZNF467",519.365884602187,1.65246574214551,0.305125639180318,5.41568957162909,6.10529467347455e-08,2.8589159130741e-05
"42","AIM1L",54.7477445700653,-3.02199378795279,0.560425188853721,-5.39232327178923,6.95524932819244e-08,3.10543795004573e-05
"43","SSPO",280.703510017864,2.03539496083237,0.377352114420037,5.39388778557827,6.89492872450552e-08,3.10543795004573e-05
"44","MUC21",34.0303928275917,-5.54719273259167,1.03363939923577,-5.36666146500708,8.02073984790197e-08,3.49977691681522e-05
"45","CLVS2",59.0705761753081,-2.71359633862547,0.508004405838635,-5.34167874813162,9.20897481395751e-08,3.92895794340378e-05
"46","APOBEC3C",876.13470520808,-2.09268129398454,0.39273498838392,-5.32848194299111,9.90370412262401e-08,3.96127532188038e-05
"47","ASPHD1",320.901275402351,1.8470696604652,0.346164982278468,5.33580736072069,9.51203492015087e-08,3.96127532188038e-05
"48","PERP",12607.0725057258,-0.848685219344651,0.159265930875123,-5.32873047412812,9.89016368947327e-08,3.96127532188038e-05
"49","ALX4",94.2514795139657,4.22274580527556,0.793203888080521,5.32365747159183,1.01701331362679e-07,3.98482420577974e-05
"50","UGT2B4",396.596965369662,5.1535245973471,0.969632827272533,5.31492380661593,1.06701964821562e-07,4.09714204521832e-05
"51","SERPINB5",615.053748482982,-2.77946087831389,0.524492621809746,-5.29933265547844,1.16226706705068e-07,4.37536576868745e-05
"52","CACNA1D",2523.99730581103,2.82389131253171,0.534397447759159,5.28425299254867,1.26218722995623e-07,4.48712844448791e-05
"53","GAL",192.777244211517,3.26382247203562,0.618041744007214,5.28090942672235,1.28544228577965e-07,4.48712844448791e-05
"54","GPX2",406.013417843438,-3.19025464560775,0.603702497278174,-5.28448144573062,1.26061324290889e-07,4.48712844448791e-05
"55","LGALS3",6134.73380392279,-1.66259551345589,0.314526107863221,-5.28603340673681,1.24997076580718e-07,4.48712844448791e-05
"56","LY6D",116.528854570142,-3.87584244958522,0.738215404551824,-5.25028660427138,1.51862740798299e-07,5.20645135819026e-05
"57","SAMD5",1112.8320023612,1.79742020073988,0.342767702573058,5.24384353381946,1.57265578859554e-07,5.29709096232381e-05
"58","FOXL2",107.731274336396,3.73305720195925,0.714816420432993,5.22239989912094,1.76619036233487e-07,5.57831196806643e-05
"59","MMP26",121.317447510916,3.82097585852799,0.731741914480068,5.22175343917937,1.77236850904762e-07,5.57831196806643e-05
"60","SLC45A2",231.876354889003,4.25008241006108,0.813790566985968,5.22257517164654,1.76451889300792e-07,5.57831196806643e-05
"61","TWIST1",506.519895847813,2.63504468904245,0.504373412312557,5.2243925328275,1.74727769614139e-07,5.57831196806643e-05
"62","APOC1",803.8280914381,2.41627462528965,0.465597292160145,5.18962344922435,2.10719765502521e-07,6.37157877869549e-05
"63","AQP3",10266.5219848542,-1.90383414854282,0.366958411606829,-5.1881469080007,2.12397021634727e-07,6.37157877869549e-05
"64","SNORA76",32.519310448351,2.80891654200538,0.541339058699911,5.18883035846576,2.11619068143668e-07,6.37157877869549e-05
"65","C1orf233",416.971080764602,2.0955763785627,0.404472057924575,5.18101643242183,2.20680048098283e-07,6.51820960529068e-05
"66","COL2A1",1803.03023359942,5.50415811747232,1.0639631448939,5.17326013019109,2.30044391256786e-07,6.68521337003795e-05
"67","SNHG3",1230.09975652826,1.84019882000852,0.355894074700708,5.17063629552149,2.33298242508746e-07,6.68521337003795e-05
"68","CLCA4",188.426093668652,-4.22097934556837,0.818143666084924,-5.15921533166307,2.47986965001327e-07,7.00162020744189e-05
"69","AGMAT",285.050066460926,1.74367727131069,0.339227779245384,5.14013703473671,2.74538171670637e-07,7.48310303789724e-05
"70","BAG3",7993.80751697296,-2.26759162001115,0.441282406273744,-5.13864044378981,2.76733327616388e-07,7.48310303789724e-05
"71","SLC18A2",1400.83954605272,-1.94716748351899,0.378726460719456,-5.14135579494501,2.72762962874721e-07,7.48310303789724e-05
"72","FLJ22184",2013.8830874065,1.52978449458549,0.298805035502684,5.11967441248742,3.06063597353567e-07,8.16127084109879e-05
